Difficulty,Fails,Name,Density
Easy,0,Da.M,0.026
Easy,1,Da.M,0.098
Easy,2,Da.M,0.186
Easy,3,Da.M,0.276
Easy,4,Da.M,0.284
Easy,5,Da.M,0.094
Easy,6,Da.M,0.036
Hard,0,Da.M,0.01
Hard,1,Da.M,0.084
Hard,2,Da.M,0.192
Hard,3,Da.M,0.284
Hard,4,Da.M,0.262
Hard,5,Da.M,0.136
Hard,6,Da.M,0.032
Easy,0,Ka.W,0.022
Easy,1,Ka.W,0.11
Easy,2,Ka.W,0.21
Easy,3,Ka.W,0.298
Easy,4,Ka.W,0.264
Easy,5,Ka.W,0.078
Easy,6,Ka.W,0.018
Hard,0,Ka.W,0.01
Hard,1,Ka.W,0.092
Hard,2,Ka.W,0.192
Hard,3,Ka.W,0.234
Hard,4,Ka.W,0.296
Hard,5,Ka.W,0.14
Hard,6,Ka.W,0.036
Easy,0,St.S,0.016
Easy,1,St.S,0.086
Easy,2,St.S,0.226
Easy,3,St.S,0.286
Easy,4,St.S,0.248
Easy,5,St.S,0.114
Easy,6,St.S,0.024
Hard,0,St.S,0.01
Hard,1,St.S,0.074
Hard,2,St.S,0.178
Hard,3,St.S,0.298
Hard,4,St.S,0.264
Hard,5,St.S,0.142
Hard,6,St.S,0.034
Easy,0,Ca.W,0.022
Easy,1,Ca.W,0.112
Easy,2,Ca.W,0.198
Easy,3,Ca.W,0.292
Easy,4,Ca.W,0.236
Easy,5,Ca.W,0.128
Easy,6,Ca.W,0.012
Hard,0,Ca.W,0.016
Hard,1,Ca.W,0.072
Hard,2,Ca.W,0.188
Hard,3,Ca.W,0.286
Hard,4,Ca.W,0.248
Hard,5,Ca.W,0.14
Hard,6,Ca.W,0.05
Easy,0,Da.S,0.01
Easy,1,Da.S,0.102
Easy,2,Da.S,0.196
Easy,3,Da.S,0.302
Easy,4,Da.S,0.238
Easy,5,Da.S,0.118
Easy,6,Da.S,0.034
Hard,0,Da.S,0.016
Hard,1,Da.S,0.084
Hard,2,Da.S,0.208
Hard,3,Da.S,0.232
Hard,4,Da.S,0.282
Hard,5,Da.S,0.152
Hard,6,Da.S,0.026
Easy,0,Ka.S,0.026
Easy,1,Ka.S,0.116
Easy,2,Ka.S,0.236
Easy,3,Ka.S,0.266
Easy,4,Ka.S,0.228
Easy,5,Ka.S,0.112
Easy,6,Ka.S,0.016
Hard,0,Ka.S,0.012
Hard,1,Ka.S,0.054
Hard,2,Ka.S,0.162
Hard,3,Ka.S,0.276
Hard,4,Ka.S,0.276
Hard,5,Ka.S,0.186
Hard,6,Ka.S,0.034
